episode,total_reward,episode_length,actor_loss,critic_loss,time_taken,total_timesteps
1,0.0,81,-0.011528639052491485,0.002442146334942663,22.03593158721924,81
2,0.44999984,89,-0.00764068210107709,0.025638663815334438,23.081669807434082,170
3,0.09999999,81,-0.00694643070443064,0.010144737036898731,21.918001651763916,251
4,2.499998,318,-0.001858374336734414,0.3453259371221066,73.9834406375885,569
5,1.489999,160,-0.0022775227781676234,0.09634656012058258,39.13544273376465,729
6,9.960028,507,-0.012456095615925733,1.8374446123838424,116.19096612930298,1236
7,6.980012,308,0.007669461611658335,1.7992656767368316,71.11222743988037,1544
8,10.880035,524,-0.0030200318510954583,0.9805887013673784,119.51954960823059,2068
9,11.560045,504,-0.006160569240455516,0.7985855802893639,115.51941251754761,2572
10,9.64002,371,-0.00958278028992936,0.6746903955936432,89.11810660362244,2943
11,8.82002,334,-0.03349491809494794,0.8177276596426963,80.0804352760315,3277
12,9.860019,378,-0.009916426392737775,1.1313708394765853,87.59016966819763,3655
13,10.630019,396,-0.013548938994063064,0.6246856629848481,91.7940263748169,4051
14,10.010008,264,-0.0010428282665088772,1.2849634870886804,63.52662897109985,4315
15,10.670017,308,-0.037982542446115986,1.8460223883390428,73.17341017723083,4623
16,9.570009,288,-0.019547344208694993,0.8463660802692174,70.99686050415039,4911
17,10.210014,330,-0.007830561196897179,0.6839206367731094,79.02569437026978,5241
18,10.360018,342,-0.010388026403961702,0.3653320252895355,80.85208654403687,5583
19,10.420008,391,-0.024768739996943623,0.3304236512631178,92.04248213768005,5974
20,10.72001,217,-0.008815355458409968,4.411535906791687,53.1710422039032,6191
21,9.380019,324,-0.016813265602104367,0.7415587037801743,78.89006662368774,6515
22,10.360007,281,0.017135520919691772,1.0549079433083535,67.52799010276794,6796
23,5.6699986,156,-0.011465715613434036,1.194835466146469,39.00623416900635,6952
24,10.020009,326,-0.0018519756617024542,0.8089745551347732,77.47717094421387,7278
25,10.190013,282,0.0046038854168728,1.1990938246250153,67.48410964012146,7560
26,9.900017,374,-0.006758182818884961,0.8008262127637863,89.82728123664856,7934
27,10.390009,287,-0.0038624661276116965,1.2243426054716111,68.91962766647339,8221
28,10.180008,271,-0.009714136610273271,1.1393701255321502,65.41562581062317,8492
29,9.960008,304,-0.009748765721451492,0.6176824979484081,72.40268921852112,8796
30,10.070017,404,-0.016874645138159394,0.3111932784318924,94.82657551765442,9200
31,11.710031,434,-0.01268885142635554,0.42243467569351195,103.4501805305481,9634
32,9.520016,332,-0.009302378637949004,0.7280765265226364,79.08560419082642,9966
33,2.679998,174,-0.013218588844622837,3.0988084435462953,43.160794496536255,10140
34,2.799998,153,-0.0122961589682685,1.524861115217209,38.324913024902344,10293
35,9.8900175,316,-0.004723165222094395,0.7540537878870964,76.94620704650879,10609
36,10.800014,279,-0.02346783068496734,1.3183846741914749,69.26192736625671,10888
37,10.030008,347,-0.01100584402011009,0.4197845861315727,82.16793465614319,11235
38,10.700015,333,-0.019438474578782915,0.6748449772596359,79.6234884262085,11568
39,15.190045,550,-0.011105954499604801,0.9727412939071653,127.82397294044495,12118
40,10.350008,256,-0.008293035859242081,1.1236587285995483,61.60343027114868,12374
41,14.630045,541,-0.05831724778593829,0.5811691497762996,128.27816700935364,12915
42,14.620056,587,-0.029818388635370265,0.42273668944835663,136.4799222946167,13502
43,31.310137,957,-0.024076990026514977,1.2487389676272869,219.37470126152039,14459
44,2.879998,164,-0.014237878785366576,3.750267744064331,39.66995310783386,14623
45,9.980016,362,-0.016736221057362853,0.5630055628716946,85.6989152431488,14985
46,60.110447,2000,-0.011444997953003622,0.9022610668092966,456.81262040138245,16985
47,16.150043,570,-0.02371301547003289,0.9385797013839087,134.56505465507507,17555
48,23.780174,1020,-0.02237388272405951,0.3025276208296418,236.35655689239502,18575
49,10.240007,263,0.021846215706318617,1.3278542429208755,63.56244349479675,18838
50,10.300009,241,-0.006953055524888984,1.6795522928237916,59.03557634353638,19079
51,10.240007,231,-0.008794312479991961,1.7367801427841187,58.238911867141724,19310
52,10.030018,317,-0.0025217033675289714,0.8257178053259849,75.80048394203186,19627
53,9.860011,325,-0.023650428123073653,0.435876888781786,78.24954891204834,19952
54,10.060007,303,-0.031992210843600336,0.6155259408056736,73.06162929534912,20255
55,9.620006,211,-0.007082548435584002,1.8095574140548707,51.821653604507446,20466
56,2.4399984,115,-0.013432530897730643,3.120059108734131,30.713208436965942,20581
57,8.61001,286,-0.017608122574165462,0.5767024897038937,69.51332402229309,20867
58,3.7599974,174,-0.024017063895500977,1.6801551938056947,43.26697587966919,21041
59,9.780007,243,-0.006860025442785478,1.5129738688468932,59.289957761764526,21284
60,10.060005,225,-0.009626247356826666,1.9712062358856202,54.88043713569641,21509
61,10.090003,324,-0.0205972821378964,0.4377549819648266,78.55298185348511,21833
62,14.960062,630,-0.019854027025091148,0.48241585791111,147.3888454437256,22463
63,10.34003,420,-0.05589902173378505,1.5469094306230544,99.67688846588135,22883
64,10.190007,293,0.009047933766123607,1.1117211237549782,70.1186683177948,23176
65,16.120068,613,-0.02873817044310271,0.700583316385746,142.58558249473572,23789
66,9.570017,290,-0.035973698961606716,0.7010980494320392,71.10145616531372,24079
67,9.620003,240,-0.00825617833257013,1.5662749111652374,58.243096351623535,24319
68,16.830063,653,-0.04330278765410185,0.6947708427906036,150.8807406425476,24972
69,11.00002,386,-0.02480119183892384,0.4530365504324436,91.79412603378296,25358
70,9.860014,246,-0.0070091247940196055,1.534219205379486,59.59502983093262,25604
71,10.170008,262,-0.005149088299367577,1.170733554661274,65.60985493659973,25866
72,9.520007,314,-0.010388599033467472,1.2445990115404129,74.82913303375244,26180
73,10.210005,263,-0.11942443989682942,1.1817409902811051,63.25546884536743,26443
74,8.440016,283,-0.01237318009370938,1.4921973094344139,60.32259941101074,26726
75,10.810006,273,-0.01684041533153504,1.4845453709363938,58.73237323760986,26999
76,8.910006,222,-0.007908009624375855,0.8902105063199997,49.19337010383606,27221
77,16.960081,662,-0.020658403844572605,0.6874804536501566,136.0883071422577,27883
78,4.3499975,150,-0.016803542637188605,1.1639455646276473,33.796802282333374,28033
79,15.900044,564,-0.021762997110878736,1.1706471681594848,116.85815167427063,28597
80,16.600084,588,-0.01404575650813058,0.46803339545925465,121.26865243911743,29185
81,23.15012,819,-0.010961292656429578,0.5285227421671153,171.56375861167908,30004
82,8.610013,263,-0.02164154974525445,0.6890757422894239,56.68965935707092,30267
83,10.210014,359,-0.015711929742246868,0.5134172573685646,75.2930178642273,30626
84,5.990002,199,-0.008095828872601097,0.6990504562854767,43.53618144989014,30825
85,9.2800045,255,-0.012734864711768167,0.8389599412679672,54.21673583984375,31080
86,15.950041,574,-0.03167450703525295,0.40070823952555645,120.53377771377563,31654
87,17.26007,566,-0.007469279986495772,0.8766617347796757,115.8665566444397,32220
88,18.150047,536,-0.030335791583638645,0.6906784291068714,110.45832920074463,32756
89,9.040005,191,-0.009345931534918073,1.6270927965641022,42.32938575744629,32947
90,10.880025,369,-0.013004549604374915,1.185443902015686,77.49104619026184,33316
91,9.950009,237,-0.010449151423224824,1.2135294437408448,53.41816711425781,33553
92,70.59011,2000,-0.032979027937108184,1.527203870564699,404.18820881843567,35553
93,10.140016,354,-0.06297463105875067,1.1880550220608712,74.83357644081116,35907
94,32.1803,1304,-0.021572498992706336,0.30551520983378094,263.5869228839874,37211
95,9.600015,286,-0.04235579828964546,0.8172510802745819,60.659316301345825,37497
96,10.470016,295,-0.032413873355835676,1.5571189880371095,64.82533550262451,37792
97,8.890009,330,-0.030100582207523985,0.3746950559318066,70.1403157711029,38122
98,10.62002,312,-0.026837824715767056,0.8303607255220413,65.35671353340149,38434
99,18.210106,827,-0.037068308069137856,1.1675840564072133,168.61553072929382,39261
100,12.540017,417,-0.01725379815325141,0.4720164999365807,87.64864444732666,39678
101,9.38001,343,-0.014452810143120587,0.2373010218143463,74.2465934753418,40021
102,10.210014,365,-0.016494320472702384,0.6974752768874168,77.04249882698059,40386
103,9.950009,315,-0.015535495022777467,0.2614176232367754,66.86552810668945,40701
104,8.560011,386,-0.017686874186620117,0.5050189562141896,80.87208294868469,41087
105,8.82001,301,-0.023896411969326438,0.3028222303837538,64.54210901260376,41388
106,9.980014,365,-0.013560240855440497,0.4196973487734795,78.49476599693298,41753
107,9.9800205,387,-0.015502803528215736,0.44812105149030684,81.11561584472656,42140
108,11.720022,472,-0.017039474855118898,0.30964586734771726,97.85052013397217,42612
109,5.650009,238,-0.023213699815243415,1.1584782987833022,51.274739265441895,42850
110,10.140022,383,-0.009334312309511006,0.49915715157985685,79.77515506744385,43233
111,9.900017,338,-0.007590671489015222,0.5040694631636142,73.05476403236389,43571
112,16.13008,667,-0.04069976007255415,0.7922928661108016,137.33879923820496,44238
113,16.790083,750,-0.04813275625929237,0.3782689313093821,151.63440537452698,44988
114,7.5900145,345,-0.01630145780509338,0.293713216483593,73.50595378875732,45333
115,9.16001,287,-0.0018208393827080726,1.0357074975967406,61.17218613624573,45620
116,5.9600053,223,-0.02666791204760912,1.2640923857688904,50.5016610622406,45843
117,8.67001,324,-0.018481396697461606,0.5138714767992496,69.14495253562927,46167
118,10.3400135,332,-0.019164287322200834,0.777160468697548,70.50987815856934,46499
119,9.40004,472,-0.009694510081317276,0.7037487417459488,99.4475519657135,46971
120,15.470074,611,-0.025434736426298822,0.7208888938029607,126.89551448822021,47582
121,7.8400097,295,-0.02643693660502322,0.5063069239258766,64.95321941375732,47877
122,7.3400083,250,-0.024286078171338942,1.1322269320487977,54.39211845397949,48127
123,15.830051,650,-0.022495210602452666,0.3901941244800885,135.4523446559906,48777
124,19.170126,870,-0.020544397342018784,0.4367328632622957,181.0363004207611,49647
125,9.9200115,377,-0.021952698938548565,0.3070328705012798,79.48054957389832,50024
126,17.01009,739,-0.01772948061504091,0.4867946411172549,154.6763300895691,50763
127,15.500085,697,-0.03369681669088702,0.31139612918098764,146.8192174434662,51460
128,15.480087,669,-0.023294194384167594,0.3846990307172139,136.80404949188232,52129
129,28.20023,1160,-0.02171839996241033,0.5188141214847565,236.44402766227722,53289
