episode,total_reward,episode_length,actor_loss,critic_loss,covariance_value,time_taken,total_timesteps
1,0.0,81,-0.05334911867976189,0.00014754451694898307,0.1,16.19662046432495,81
2,0.0,81,-0.04374898597598076,4.50382776762126e-06,0.099982,15.80805492401123,162
3,0.0,81,-0.047102976590394974,3.130488494207384e-06,0.09996400000000001,15.888839721679688,243
4,0.0,81,-0.038095902651548386,1.1945776350330561e-06,0.09994600000000001,15.860543489456177,324
5,0.0,81,-0.02412250265479088,8.941526630223962e-07,0.099928,16.301702737808228,405
6,0.0,81,-0.012759287841618061,5.526241011466482e-07,0.09991,16.141726970672607,486
7,0.24000004,126,-0.016321474686264992,0.0034799170680344105,0.09989200000000001,23.53183102607727,612
8,0.14999999,110,-0.04539566859602928,0.0014740871265530586,0.099874,21.379257202148438,722
9,0.23000003,115,-0.03724224865436554,0.0036835826467722654,0.099856,21.141172647476196,837
10,0.0,81,-0.036365628242492676,0.0009253955213353038,0.09983800000000001,15.699066877365112,918
11,0.08999999,98,-0.003204910084605217,0.00038172563654370606,0.09982,19.320095777511597,1016
12,0.06999999,81,-0.027232453227043152,0.000531418772879988,0.099802,16.170073747634888,1097
13,0.4799998,156,-0.028224211186170578,0.01193870510905981,0.09978400000000001,27.14277982711792,1253
14,0.19000001,101,-0.04111173748970032,0.0029795509763062,0.09976600000000001,17.931440591812134,1354
15,1.6399988,255,-0.010435068048536777,0.05138236656785011,0.099748,43.36760878562927,1609
16,2.0199988,236,-0.042892713099718094,0.06466293334960938,0.09973,40.34896373748779,1845
17,1.7599987,222,-0.0222791600972414,0.016599543392658234,0.09971200000000001,36.97879123687744,2067
18,0.18,116,-0.03647994622588158,0.034464165568351746,0.099694,20.268603086471558,2183
19,1.9599986,185,-0.03525784611701965,0.03171711415052414,0.099676,30.980626106262207,2368
20,1.8899988,149,-0.03514895215630531,0.04288499802350998,0.09965800000000001,26.489694118499756,2517
21,1.7499988,169,-0.027984360232949257,0.02060173638164997,0.09964,29.001073360443115,2686
22,2.1399987,195,-0.03731108456850052,0.03009270504117012,0.099622,33.46566581726074,2881
23,2.2299984,181,-0.009336271323263645,0.008964999578893185,0.09960400000000001,31.96907114982605,3062
24,2.0399985,187,0.018541837111115456,0.010501881130039692,0.09958600000000001,33.05163645744324,3249
25,0.68999964,165,-0.03443460538983345,0.0359543114900589,0.099568,29.176692724227905,3414
26,0.64999974,181,0.03463540971279144,0.011374635621905327,0.09955,32.954582929611206,3595
27,1.0499996,163,-0.004755593370646238,0.045117542147636414,0.09953200000000001,30.64622926712036,3758
28,1.4199991,176,-0.015572726726531982,0.04500739648938179,0.099514,32.51615524291992,3934
29,1.3299992,209,-0.0304059237241745,0.030691251158714294,0.099496,38.89511704444885,4143
30,2.4399981,326,-0.05782802775502205,0.019730210304260254,0.09947800000000001,56.285218477249146,4469
31,3.0199976,261,0.3283608555793762,0.020204507745802402,0.09946,46.922475814819336,4730
