episode,total_reward,episode_length,actor_loss,critic_loss,time_taken,total_timesteps
119,2.2699986,115,10.37843132019043,0.026176543906331062,26.91097354888916,19716
120,11.270005,374,3.6103439331054688,1.2105214595794678,78.62324643135071,20090
121,2.7199981,97,2.986095428466797,0.0780472382903099,23.4898898601532,20187
122,1.849999,103,10.04867172241211,0.029937898740172386,24.769226789474487,20290
123,12.790016,346,6.0013463497161865,4.630906343460083,72.5787832736969,20636
124,10.55003,409,2.525915503501892,1.402395784854889,84.98560214042664,21045
125,10.060019,305,29.690142691135406,1.6198865175247192,64.72600221633911,21350
126,2.2099986,112,4.305729866027832,0.130532905459404,26.427746057510376,21462
127,4.0499973,146,5.416756629943848,0.3284253180027008,33.50345492362976,21608
128,10.840017,325,5.23259711265564,1.386155903339386,68.70569109916687,21933
129,9.370013,271,5.083189249038696,1.540109097957611,58.07925868034363,22204
130,1.6199993,92,29.793651580810547,0.0420215018093586,21.8504855632782,22296
131,10.610012,313,108.16676807403564,2.5022621154785156,68.69177341461182,22609
132,6.190001,213,2.468221664428711,0.2641744911670685,46.1420214176178,22822
133,3.5299973,126,6.75128173828125,0.23412606120109558,28.50776743888855,22948
134,8.55001,295,10.489939451217651,1.0870737433433533,62.35238289833069,23243
135,4.849998,172,4.2864179611206055,0.20435532927513123,37.84151530265808,23415
136,5.0400014,148,4.1117143630981445,0.40472036600112915,34.16574692726135,23563
137,3.0199983,152,4.468028545379639,0.04374059662222862,34.14009714126587,23715
138,5.7599998,195,4.228031158447266,0.28696510195732117,42.59746766090393,23910
139,1.8299987,106,3.8098692893981934,0.07287518680095673,24.85150933265686,24016
140,4.6199985,194,9.428783416748047,0.09167201817035675,42.105785608291626,24210
141,3.4299974,157,3.2598979473114014,0.09486040472984314,35.49316930770874,24367
142,9.780012,338,24.678560376167297,1.531112015247345,70.86558699607849,24705
143,2.1999989,87,7.9218525886535645,0.06359542906284332,20.778514862060547,24792
144,5.2600017,215,4.942161560058594,0.16463348269462585,46.47478222846985,25007
145,3.909997,142,6.418382167816162,0.14567509293556213,31.50011897087097,25149
146,6.130006,196,203.81040954589844,0.5036278963088989,43.41873049736023,25345
147,2.3199985,83,3.7693634033203125,0.07284043729305267,19.938055992126465,25428
148,2.5599988,91,1.8019731044769287,0.08567880839109421,21.69656491279602,25519
149,3.3899975,160,5.852675914764404,0.07627557963132858,35.61275315284729,25679
150,5.190002,220,3.4389023780822754,0.3101288378238678,48.13766956329346,25899
151,2.049999,84,6.342793941497803,0.026006095111370087,20.59353733062744,25983
152,18.18007,536,50.36792532602946,0.5588377217451731,110.79896926879883,26519
153,2.5899985,108,3.5248820781707764,0.2954981327056885,25.168317794799805,26627
154,2.0899987,99,9.703643798828125,0.032671473920345306,23.384034395217896,26726
155,2.129999,81,3.8424463272094727,0.03700115531682968,19.65168786048889,26807
156,8.830009,287,3.122802734375,1.5400319695472717,61.9845974445343,27094
157,1.8799992,71,2.8737707138061523,0.09811799228191376,17.548491716384888,27165
158,5.720004,235,5.325902462005615,0.4373801350593567,50.57253670692444,27400
159,4.589999,207,5.908952713012695,0.1044578105211258,45.0439236164093,27607
160,4.9900002,148,4.957126140594482,0.532780647277832,32.90924692153931,27755
161,2.9599981,120,5.3303399085998535,0.03502408787608147,28.496540307998657,27875
162,1.739999,91,6.769960880279541,0.06745060533285141,22.018681526184082,27966
163,6.9700055,238,5.282144546508789,0.383391410112381,50.957000732421875,28204
164,8.000005,245,12.617574691772461,0.7251741290092468,52.20004200935364,28449
165,2.4799984,114,4.62782621383667,0.12063081562519073,26.296387195587158,28563
166,1.8199989,80,3.834120988845825,0.02605745755136013,19.827141523361206,28643
167,1.8099989,85,4.737210750579834,0.008202586323022842,20.980835437774658,28728
168,4.820001,239,3.553567886352539,0.07961516827344894,51.483179569244385,28967
169,6.1500044,216,4.574514389038086,0.09624982625246048,46.86829328536987,29183
170,11.180021,323,7.27076518535614,2.515221118927002,67.84816670417786,29506
171,2.2199984,105,6.58270788192749,0.09679192304611206,24.961905002593994,29611
172,1.3199992,89,6.164498805999756,0.008895074017345905,21.54162836074829,29700
173,1.8799989,89,1.8259825706481934,0.019795900210738182,21.17098593711853,29789
174,2.8799982,121,3.880390167236328,0.12371353805065155,27.630553007125854,29910
175,5.1099997,148,7.478793621063232,0.46131381392478943,33.09181189537048,30058
176,3.549998,98,2.2852277755737305,0.26849842071533203,23.412123918533325,30156
177,2.5299983,112,2.9334523677825928,0.021828467026352882,26.277217626571655,30268
178,6.7000093,242,6.137592315673828,0.35285642743110657,51.54502296447754,30510
179,10.460011,277,6.679046154022217,2.259157180786133,58.729875802993774,30787
180,2.4599984,137,1.9392582178115845,0.06927767395973206,30.883936643600464,30924
181,10.870045,436,6.934034824371338,0.7726757228374481,92.9930591583252,31360
182,4.359998,159,2.9868574142456055,0.24246449768543243,35.1386604309082,31519
183,1.9799991,83,5.452746391296387,0.01981710083782673,20.143547534942627,31602
184,9.880003,315,5.649053573608398,0.9161613583564758,66.71964573860168,31917
185,2.079999,78,31.421655654907227,0.5122380256652832,19.123324155807495,31995
186,2.5099988,87,2.8173277378082275,0.2700365483760834,20.956706285476685,32082
187,3.1299977,115,2.37699556350708,0.14236781001091003,27.148862600326538,32197
188,1.5199991,88,4.946335792541504,0.042425334453582764,21.00375723838806,32285
189,1.639999,84,4.719577789306641,0.014644698239862919,20.394447326660156,32369
190,2.839998,110,15.924321174621582,0.13566122949123383,25.52733278274536,32479
191,2.2299984,97,3.5228843688964844,0.012977954000234604,23.164907217025757,32576
192,9.460004,260,10.901490211486816,1.6974241733551025,56.16375803947449,32836
193,11.140017,364,2.8250592947006226,0.9066267013549805,76.93810057640076,33200
194,2.5899985,94,8.164320945739746,0.15793514251708984,22.103124618530273,33294
195,5.6600003,211,22.911245346069336,0.2651600241661072,45.487488985061646,33505
196,4.5300007,212,6.735152244567871,0.46925750374794006,47.257185220718384,33717
197,6.540004,194,3.9021430015563965,0.7041727900505066,42.3725368976593,33911
198,1.3899995,64,1.532938003540039,0.3089081048965454,16.352871417999268,33975
199,3.0099978,123,3.088239908218384,0.10257705301046371,28.170603275299072,34098
200,6.220003,208,7.086612701416016,0.26613643765449524,45.110870122909546,34306
201,3.1799977,117,11.648796081542969,0.08736035227775574,27.691697597503662,34423
202,1.5799992,86,1.7582415342330933,0.024508021771907806,21.143142223358154,34509
203,11.550041,403,2.629423499107361,1.7301319241523743,86.3833556175232,34912
204,11.42001,319,3.6461851000785828,0.9231800436973572,69.27166366577148,35231
205,11.730027,345,3.6511616706848145,2.4134923219680786,72.74975562095642,35576
206,4.2699976,152,5.495296478271484,0.23486489057540894,34.683120012283325,35728
207,11.690012,268,4.099974989891052,3.4572784900665283,57.33128881454468,35996
208,2.749998,123,4.759073257446289,0.1662972867488861,28.18516492843628,36119
209,5.4800014,206,2.9835352897644043,0.302634596824646,44.6268630027771,36325
210,1.4299991,80,1.838826060295105,0.012793381698429585,19.366432905197144,36405
211,5.370002,186,8.7633638381958,0.4550997316837311,41.68654775619507,36591
212,6.230005,210,2.5690503120422363,0.32046690583229065,45.74638605117798,36801
213,1.719999,97,7.913390159606934,0.04036672040820122,22.911568880081177,36898
214,6.890004,215,2.0778849124908447,0.42810654640197754,47.17080354690552,37113
215,3.0699978,128,7.569561958312988,0.12696978449821472,29.724379301071167,37241
216,4.6099987,196,4.49725341796875,0.12412431091070175,43.8552029132843,37437
217,7.5600066,251,4.065759181976318,0.6710854768753052,54.25828456878662,37688
218,3.2199976,144,2.9607646465301514,0.0922745019197464,32.28002214431763,37832
219,2.4499986,110,4.744642734527588,0.05787874385714531,25.374857187271118,37942
220,2.999998,116,2.7030861377716064,0.1010429784655571,26.592737197875977,38058
221,4.2599974,179,11.126869201660156,0.1225607767701149,40.602757930755615,38237
222,5.7800035,175,14.295132637023926,0.6343719959259033,38.60759496688843,38412
223,10.900021,333,2.4127904176712036,2.1356300115585327,69.97212338447571,38745
224,5.0099993,218,5.08861780166626,0.22208203375339508,47.32737755775452,38963
225,3.019998,99,3.4466965198516846,0.0956997498869896,23.05068826675415,39062
226,1.7299991,79,25.001869201660156,0.024731479585170746,19.50371289253235,39141
227,1.9899986,140,3.2906737327575684,0.006399028468877077,32.16721868515015,39281
228,4.579999,207,1.8667515516281128,0.1504257619380951,44.78556799888611,39488
229,2.5899982,111,1.9102983474731445,0.05438902974128723,25.538188457489014,39599
230,4.229997,153,5.682522296905518,0.24699026346206665,34.50267457962036,39752
231,2.7599986,97,26.829357147216797,0.11111091077327728,22.950023889541626,39849
232,3.5799973,140,21.832529067993164,0.07931555062532425,32.26840567588806,39989
233,2.999998,115,10.079663276672363,0.039133284240961075,26.47184467315674,40104
234,11.080024,396,6.864585995674133,1.754192292690277,82.6604688167572,40500
